tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
7879,1789597233777000,-0.066493988,-0.598996818,-0.152091980,0.033371493,1,31.374542236,0.981502771,58.327377319,0,133.883333333,0.000000000,0.000000000
7880,1789597233795000,-0.065467834,-0.598996878,-0.185447693,0.033371493,1,31.345521927,0.983648181,58.590030670,0,133.900000000,0.000000000,0.000000000
7881,1789597233807000,-0.064441681,-0.598997355,-0.218807220,0.033375304,1,31.316467285,0.985366940,58.853092194,0,133.916666667,0.000000000,0.000000000
7882,1789597233826000,-0.063419342,-0.598997951,-0.252170563,0.033379000,1,31.287368774,0.986678481,59.116569519,0,133.933333333,0.000000000,0.000000000
7883,1789597233844000,-0.062400818,-0.598998785,-0.285541534,0.033386510,1,31.258216858,0.987608671,59.380474091,0,133.950000000,0.000000000,0.000000000
7884,1789597233862000,-0.061370850,-0.598999560,-0.318901062,0.033375423,1,31.229003906,0.988188326,59.644813538,0,133.966666667,0.000000000,0.000000000
7885,1789597233874000,-0.060356140,-0.599000573,-0.352264404,0.033378769,1,31.199718475,0.988451838,59.909587860,0,133.983333333,0.000000000,0.000000000
7886,1789597233893000,-0.059329987,-0.599001646,-0.385623932,0.033375304,1,31.170354843,0.988436222,60.174816132,0,134.000000000,0.000000000,0.000000000
7887,1789597233910000,-0.058311462,-0.599002361,-0.418987274,0.033378884,1,31.140903473,0.988179266,60.440490723,0,134.016666667,0.000000000,0.000000000
7888,1789597233929000,-0.057289124,-0.599003077,-0.452342987,0.033371378,1,31.111358643,0.987719417,60.706630707,0,134.033333333,0.000000000,0.000000000
7889,1789597233941000,-0.056270599,-0.599003792,-0.485694885,0.033367448,1,31.081710815,0.987094283,60.973228455,0,134.050000000,0.000000000,0.000000000
7890,1789597233959000,-0.055252075,-0.599004388,-0.519046783,0.033367448,1,31.051956177,0.986340046,61.240291595,0,134.066666667,0.000000000,0.000000000
7891,1789597233977000,-0.054229736,-0.599005103,-0.552402496,0.033371378,1,31.022090912,0.985490918,61.507827759,0,134.083333333,0.000000000,0.000000000
7892,1789597233995000,-0.053215027,-0.599005461,-0.585750580,0.033363517,1,30.992105484,0.984578609,61.775833130,0,134.100000000,0.000000000,0.000000000
7893,1789597234007000,-0.052200317,-0.599005699,-0.619087219,0.033352081,1,30.962001801,0.983631849,62.044311523,0,134.116666667,0.000000000,0.000000000
7894,1789597234026000,-0.051181793,-0.599006057,-0.652435303,0.033363633,1,30.931774139,0.982676506,62.313259125,0,134.133333333,0.000000000,0.000000000
7895,1789597234044000,-0.050163269,-0.599006057,-0.685783386,0.033363633,1,30.901420593,0.981734872,62.582675934,0,134.150000000,0.000000000,0.000000000
7896,1789597234061000,-0.049148560,-0.599006295,-0.719127655,0.033359706,1,30.870937347,0.980826139,62.852565765,0,134.166666667,0.000000000,0.000000000
7897,1789597234074000,-0.048133850,-0.599006295,-0.752471924,0.033359706,1,30.840326309,0.979965985,63.122924805,0,134.183333333,0.000000000,0.000000000
