tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
2913,29.2851,-1.0409,-7.8804,30.4822,0.0667,1,0.4409
2914,29.2817,-0.9978,-7.4781,30.3692,0.4046,1,0.3978
2915,29.2817,-0.9980,-7.4114,30.3517,0.0667,1,0.3980
2916,29.2783,-0.9589,-7.0064,30.2440,0.4069,1,0.3589
2917,29.2783,-0.9592,-6.9397,30.2274,0.0667,1,0.3592
2918,29.2752,-0.9260,-6.5320,30.1253,0.4091,1,0.3260
2919,29.2752,-0.9262,-6.4653,30.1096,0.0667,1,0.3262
2920,29.2722,-0.9000,-6.0548,30.0132,0.4113,1,0.3000
2921,29.2722,-0.9002,-5.9882,29.9986,0.0667,1,0.3002
2922,29.2693,-0.8816,-5.5750,29.9080,0.4136,1,0.2816
2923,29.2693,-0.8818,-5.5083,29.8944,0.0667,1,0.2818
2924,29.2666,-0.8705,-5.0926,29.8099,0.4159,1,0.2705
2925,29.2666,-0.8708,-5.0259,29.7973,0.0667,1,0.2708
2926,29.2640,-0.8663,-4.6075,29.7191,0.4184,1,0.2663
2927,29.2640,-0.8665,-4.5409,29.7076,0.0667,1,0.2665
2928,29.2616,-0.8680,-4.1200,29.6357,0.4209,1,0.2680
2929,29.2616,-0.8682,-4.0533,29.6253,0.0667,1,0.2682
2930,29.2593,-0.8745,-3.6299,29.5600,0.4235,1,0.2745
2931,29.2593,-0.8747,-3.5632,29.5506,0.0667,1,0.2747
2932,29.2572,-0.8845,-3.1373,29.4921,0.4260,1,0.2845
2933,29.2572,-0.8847,-3.0706,29.4838,0.0667,1,0.2847
2934,29.2553,-0.8968,-2.6422,29.4323,0.4285,1,0.2968
2935,29.2553,-0.8970,-2.5756,29.4251,0.0667,1,0.2970
2936,29.2536,-0.9102,-2.1448,29.3806,0.4310,1,0.3102
2937,29.2536,-0.9105,-2.0781,29.3746,0.0667,1,0.3105
2938,29.2520,-0.9238,-1.6449,29.3373,0.4334,1,0.3238
2939,29.2520,-0.9241,-1.5783,29.3324,0.0667,1,0.3241
2940,29.2507,-0.9367,-1.1428,29.3025,0.4357,1,0.3367
2941,29.2507,-0.9370,-1.0761,29.2987,0.0667,1,0.3370
2942,29.2496,-0.9483,-0.6382,29.2764,0.4380,1,0.3483
2943,29.2496,-0.9485,-0.5716,29.2738,0.0667,1,0.3485
2944,29.2486,-0.9581,-0.1314,29.2592,0.4403,1,0.3581
2945,29.2486,-0.9584,-0.0648,29.2577,0.0667,1,0.3584
2946,29.2479,-0.9660,0.3777,29.2509,0.4425,1,0.3660
2947,29.2479,-0.9662,0.4444,29.2505,0.0667,1,0.3662
2948,29.2475,-0.9717,0.8890,29.2516,0.4447,1,0.3717
2949,29.2475,-0.9720,0.9557,29.2524,0.0667,1,0.3720
2950,29.2472,-0.9755,1.4026,29.2616,0.4469,1,0.3755
2951,29.2472,-0.9757,1.4693,29.2636,0.0667,1,0.3757
2952,29.2473,-0.9775,1.9184,29.2809,0.4491,1,0.3775
2953,29.2473,-0.9777,1.9850,29.2841,0.0667,1,0.3777
2954,29.2465,-1.0047,2.4740,29.3115,0.4897,1,0.4047
2955,29.2465,-1.0049,2.5407,29.3159,0.0667,1,0.4049
2956,29.2441,-1.0515,2.9314,29.3430,0.3935,1,0.4515
2957,29.2441,-1.0512,2.8648,29.3377,0.0667,1,0.4512
2958,29.2398,-1.1058,3.2771,29.3696,0.4160,1,0.5058
2959,29.2398,-1.1056,3.2104,29.3635,0.0667,1,0.5056
